CHAPTER_TYPE,CHAPTER,SECTION,PARAGRAPH,DESCRIPT,BUDGET_YEAR
I,2,8,1,عائدات أخرى,2026
I,3,1,1,الحصة العائدة لدعم الموازنة,2026
I,3,2,1,الحصة المخصصة لدعم مشاريع التنمية,2026
E,1,1,1,تعويضات الرئاسة,2022
E,1,2,1,رواتب الموظفين,2022
E,1,3,1,بدلات التعاقد,2022
E,1,4,1,أجور الأجراء,2022
E,1,5,1,عائدات الجباية والغرامة,2022
E,1,6,1,المكافآت والتعويضات والتقديمات المختلفة,2022
E,1,7,1,اللوازم,2022
E,1,8,1,الملابس,2022
E,1,9,1,بدلات الإيجار والخدمات المشتركة,2022
E,1,10,1,المخابرات الهاتفية والبريد والبرق,2022
E,1,11,1,نفقات إدارية أخرى,2022
E,2,1,1,التجهيزات,2022
E,2,2,1,صيانة التجهيزات والآليات,2022
E,2,3,1,المفروشات,2022
E,2,4,1,النظافة العامة,2022
E,2,5,1,صيانة المباني,2022
E,2,6,1,شراء الآليات,2022
E,2,7,1,مكافحة الحشرات,2022
E,2,8,1,لوازم التنظيفات,2022
E,2,9,1,المحروقات,2022
E,2,10,1,أجور النقل والانتقال,2022
E,2,11,1,أجور العمّال اليوميين,2022
E,2,12,1,بدلات استهلاك الكهرباء,2022
E,2,13,1,بدلات اشتراك المياه,2022
E,2,14,1,صيانة الطرق العامة,2022
E,2,15,1,صيانة شبكات المياه,2022
E,2,16,1,صيانة شبكات الإنارة العامة,2022
E,3,1,1,إنشاء المباني,2022
E,3,2,1,إنشاء شبكات الإنارة العامة,2022
E,3,3,1,إنشاء شبكات المياه,2022
E,3,4,1,إنشاء شبكات المجارير,2022
E,3,5,1,إنشاء الطرق العامة والأرصفة والأقنية,2022
E,3,6,1,إنشاء الحدائق,2022
E,3,7,1,إنشاء الملاعب والمسابح,2022
E,3,8,1,إنشاءات أخرى,2022
E,3,9,1,نفقات الدروس,2022
E,3,10,1,تعويضات الإستملاك,2022
E,3,11,1,شراء الأبنية,2022
E,3,12,1,شراء العقارات,2022
E,4,1,1,التخصيصات الصحية,2022
E,4,2,1,مساعدة المعوزين,2022
E,4,3,1,مساعدة الأوقاف الخيرية,2022
E,4,4,1,المساهمة في النشاطات الثقافية,2022
E,4,5,1,المساهمة في النشاطات التربوية,2022
E,4,6,1,المساهمة في النشاطات الرياضية,2022
E,4,7,1,المساهمة في النشاطات الاجتماعية,2022
E,4,8,1,المنح والجوائز المدرسية,2022
E,4,9,1,مساعدة المدارس,2022
E,4,10,1,مساعدة المكتبات,2022
E,4,11,1,مساعدة الهيئات التي لا تتوخّى الربح,2022
E,4,12,1,مساهمات إلى القطاع العام,2022
E,5,1,1,الاستقبالات,2022
E,5,2,1,الاحتفالات والمهرجانات,2022
E,5,3,1,رسوم الدعاوى والأحكام والمصالحات وأتعاب المحاماة,2022
E,5,4,1,المساهمة في موازنة اتحاد البلديات,2022
E,5,5,1,رديات,2022
E,5,6,1,نفقات التأمين,2022
E,5,7,1,إيفاء القروض,2022
E,5,9,1,المصاريف الأخرى غير الملحوظة,2022
E,6,1,1,احتياط الموازنة,2022
I,1,1,1,رسم على القيمة التأجيرية (سكن),2022
I,1,2,1,رسم على القيمة التأجيرية (غير سكن),2022
I,1,3,1,رسم صيانة المجارير والأرصفة,2022
I,1,4,1,رسم خاص على تجارة المواد القابلة للإشتعال والإنفجار,2022
I,1,5,1,رسم الترخيص لأماكن الاجتماع وأندية المراهنات,2022
I,1,6,1,رسم الترخيص للإعلان الدائم والمؤقت,2022
I,1,7,1,رسم الترخيص باشغال الأملاك العمومية البلدية,2022
I,1,8,1,رسم الترخيص لمحلات ومحطات توزيع المحروقات السائلة,2022
I,1,9,1,رسم الترخيص للمؤسسات المصنفة,2022
I,1,10,1,رسم الترخيص باحتراف المهن بالتجول,2022
I,1,11,1,رسم الترخيص بالبناء,2022
I,1,12,1,رسم إستعمال الأملاك والمنشآت العامة البلدية,2022
I,1,13,1,رسم إنفاق في وجوه محددة,2022
I,1,14,1,رسم تصوينة,2022
I,1,15,1,رسم الترميم,2022
I,1,16,1,رسم إنشاء مجارير وأرصفة,2022
I,1,17,1,رسم المرآب,2022
I,1,18,1,رسم الإستثمار لأماكن الإجتماع وأندية المراهنات,2022
I,1,19,1,رسم الإستثمار للإعلان الدائم,2022
I,1,20,1,رسم الإستثمار للإعلان المؤقت,2022
I,1,21,1,رسم الإستثمار لاشغال الأملاك العمومية البلدية,2022
I,1,22,1,رسم الإستثمار لمحلات ومحطات المحروقات السائلة,2022
I,1,23,1,رسم الإستثمار للمحركات المستعملة في المؤسسات الصناعية,2022
I,1,24,1,رسم إستثمار على الإعلانات التي تعرض في دور السينما,2022
I,1,25,1,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2022
I,1,26,1,الرسم النسبي على المزايدات,2022
I,1,27,1,رسم على الحيوانات التي تذبح في النطاق البلدي,2022
I,1,28,1,رسم معاينة على اللحوم الطازجة الواردة من خارج النطاق البلدي,2022
I,1,29,1,رسوم وقوف السيارات في الأملاك البلدية العمومية,2022
I,1,30,1,رسوم الدخول إلى الأماكن الأثرية والسياحية,2022
I,1,31,1,رسم تسجيل عقود الإيجار,2022
I,1,32,1,رسوم إعطاء البيانات والإفادات والدروس الفنية,2022
I,1,33,1,واردات ناتجة عن أشغال لحساب الغير,2022
I,1,34,1,الغرامات التي تفرضها المحاكم بسبب مخالفة الأنظمة,2022
I,1,35,1,رسوم وغرامات تسوية مخالفات البناء,2022
I,1,36,1,واردات مباشرة غير ملحوظة,2022
I,1,37,1,غرامات الاعمال غير المنفذة من البناء,2022
I,1,38,1,رسم المرآب السنوي على المؤسسات السياحية,2022
I,2,1,1,علاوة على ضريبة الأملاك المبنية النسبية,2022
I,2,2,1,حصة البلديات من المؤسسة العامة للاسكان,2022
I,2,3,1,رسم نسبي على تذاكر الدخول إلى أندية المراهنات,2022
