PAY_TRANS_ID,DOCUMENT_SEQ,TRANSACTION_SEQ,TRANSACTION_DESC,BALADIEH_INT_ID,AMOUNT,ACCOUNT_TYPE,SUB_LEDGER_ID,FEE_TYPE,FEE_DETAIL,FEE_TYPE_ID,FEE_TYPE_DET,PAYMENT_TYPE,TRANS_TYPE,TRANS_NUM,LINE_NUM,CHECK_SEQ,CHECK_NUM,BANK_CODE,CHECK_PAYOR,CHECK_DATE,CHECK_SEQ_ACC
2532,1,1,قبض رسوم - بيان رقم 2007/99 إيصال رقم 3761,165,75000,CREDIT,890.0,DIRECT,FEE,18.0,0.0,,,,,,,,,,
2532,1,2,قبض رسوم - بيان رقم 2007/99 إيصال رقم 3761,165,75000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2533,1,1,قبض رسوم - بيان رقم 2007/100 إيصال رقم 3762,165,30000,CREDIT,890.0,DIRECT,FEE,18.0,0.0,,,,,,,,,,
2533,1,2,قبض رسوم - بيان رقم 2007/100 إيصال رقم 3762,165,30000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2534,1,1,قبض رسوم - بيان رقم 2007/101 إيصال رقم 3763,165,200000,CREDIT,890.0,DIRECT,FEE,18.0,0.0,,,,,,,,,,
2534,1,2,قبض رسوم - بيان رقم 2007/101 إيصال رقم 3763,165,200000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2535,1,1,قبض رسوم - بيان رقم 2007/102 إيصال رقم 3764,165,12000,CREDIT,875.0,DIRECT,FEE,12.0,0.0,,,,,,,,,,
2535,1,2,قبض رسوم - بيان رقم 2007/102 إيصال رقم 3764,165,672000,CREDIT,889.0,DIRECT,FEE,15.0,0.0,,,,,,,,,,
2535,1,3,قبض رسوم - بيان رقم 2007/102 إيصال رقم 3764,165,69000,CREDIT,607.0,DIRECT,FEE,30.0,0.0,,,,,,,,,,
2535,1,4,قبض رسوم - بيان رقم 2007/102 إيصال رقم 3764,165,753000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2536,1,1,قبض رسوم - بيان رقم 2007/103 إيصال رقم 3765,165,10000,CREDIT,901.0,DIRECT,FEE,26.0,0.0,,,,,,,,,,
2536,1,2,قبض رسوم - بيان رقم 2007/103 إيصال رقم 3765,165,10000,DEBIT,647.0,,,,,10.0,,,,,,,,,
2537,1,1,قبض رسوم - بيان رقم 2007/104 إيصال رقم 3766,165,10000,CREDIT,901.0,DIRECT,FEE,26.0,0.0,,,,,,,,,,
