CHAPTER_TYPE,CHAPTER,SECTION,DESCRIPT,BUDGET_YEAR
E,1,8,الملابس,2027
E,1,9,بدلات الإيجار والخدمات المشتركة,2027
E,1,10,المخابرات الهاتفية والبريد والبرق,2027
E,1,11,نفقات إدارية أخرى,2027
E,2,1,التجهيزات,2027
E,2,2,صيانة التجهيزات والآليات,2027
E,2,3,المفروشات,2027
E,2,4,النظافة العامة,2027
E,2,5,صيانة المباني,2027
E,2,6,شراء الآليات,2027
E,2,7,مكافحة الحشرات,2027
E,2,8,لوازم التنظيفات,2027
E,2,9,المحروقات,2027
E,2,10,أجور النقل والانتقال,2027
E,2,11,أجور العمّال اليوميين,2027
E,2,12,بدلات استهلاك الكهرباء,2027
E,2,13,بدلات اشتراك المياه,2027
E,2,14,صيانة الطرق العامة,2027
E,2,15,صيانة شبكات المياه,2027
E,2,16,صيانة شبكات الإنارة العامة,2027
E,3,1,إنشاء المباني,2027
E,3,2,إنشاء شبكات الإنارة العامة,2027
E,3,3,إنشاء شبكات المياه,2027
E,3,4,إنشاء شبكات المجارير,2027
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2027
E,3,6,إنشاء الحدائق,2027
E,3,7,إنشاء الملاعب والمسابح,2027
E,3,8,إنشاءات أخرى,2027
E,3,9,نفقات الدروس,2027
E,3,10,تعويضات الإستملاك,2027
E,3,11,شراء الأبنية,2027
E,3,12,شراء العقارات,2027
E,4,1,التخصيصات الصحية,2027
E,5,2,الاحتفالات والمهرجانات,2005
E,5,4,المساهمة في موازنة اتحاد البلديات,2005
E,5,5,رديات,2005
E,6,1,احتياط الموازنة,2005
I,1,1,رسم على القيمة التأجيرية (سكن),2005
I,1,2,رسم على القيمة التأجيرية (غير سكن),2005
I,1,3,رسم صيانة المجارير والأرصفة,2005
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2005
I,1,9,رسم الترخيص للمؤسسات المصنفة,2005
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2005
I,1,11,رسم الترخيص بالبناء,2005
I,1,13,رسم إنفاق في وجوه محددة,2005
I,1,14,رسم تصوينة,2005
I,1,15,رسم الترميم,2005
I,1,16,رسم إنشاء مجارير وأرصفة,2005
E,2,16,صيانة شبكات الإنارة العامة,2007
E,3,1,إنشاء المباني,2007
E,3,2,إنشاء شبكات الإنارة العامة,2007
E,3,3,إنشاء شبكات المياه,2007
E,3,4,إنشاء شبكات المجارير,2007
E,3,5,إنشاء الطرق العامة والأرصفة والأقنية,2007
E,3,6,إنشاء الحدائق,2007
E,3,7,إنشاء الملاعب والمسابح,2007
E,3,8,إنشاءات أخرى,2007
E,3,9,نفقات الدروس,2007
E,3,10,تعويضات الإستملاك,2007
E,3,11,شراء الأبنية,2007
E,3,12,شراء العقارات,2007
E,4,1,التخصيصات الصحية,2007
E,4,2,مساعدة المعوزين,2007
E,4,3,مساعدة الأوقاف الخيرية,2007
E,4,4,المساهمة في النشاطات الثقافية,2007
E,4,5,المساهمة في النشاطات التربوية,2007
E,4,6,المساهمة في النشاطات الرياضية,2007
E,4,7,المساهمة في النشاطات الاجتماعية,2007
E,4,8,المنح والجوائز المدرسية,2007
E,4,9,مساعدة المدارس,2007
E,4,10,مساعدة المكتبات,2007
E,4,11,مساعدة الهيئات التي لا تتوخّى الربح,2007
E,4,12,مساهمات إلى القطاع العام,2007
E,5,1,الاستقبالات,2007
E,5,2,الاحتفالات والمهرجانات,2007
E,5,4,المساهمة في موازنة اتحاد البلديات,2007
E,5,5,رديات,2007
E,5,6,نفقات التأمين,2007
E,5,7,إيفاء القروض,2007
E,5,9,المصاريف الأخرى غير الملحوظة,2007
E,6,1,احتياط الموازنة,2007
I,1,1,رسم على القيمة التأجيرية (سكن),2007
I,1,2,رسم على القيمة التأجيرية (غير سكن),2007
I,1,3,رسم صيانة المجارير والأرصفة,2007
I,1,6,رسم الترخيص للإعلان الدائم والمؤقت,2007
I,1,9,رسم الترخيص للمؤسسات المصنفة,2007
I,1,10,رسم الترخيص باحتراف المهن بالتجول,2007
I,1,11,رسم الترخيص بالبناء,2007
I,1,13,رسم إنفاق في وجوه محددة,2007
I,1,14,رسم تصوينة,2007
I,1,15,رسم الترميم,2007
I,1,16,رسم إنشاء مجارير وأرصفة,2007
I,1,17,رسم المرآب,2007
I,1,19,رسم الإستثمار للإعلان الدائم,2007
I,1,20,رسم الإستثمار للإعلان المؤقت,2007
I,1,25,رسم إستثمار اسبوعي للإعلان خارج دور السينما,2007
I,1,26,الرسم النسبي على المزايدات,2007
I,1,30,رسوم الدخول إلى الأماكن الأثرية والسياحية,2007
I,1,31,رسم تسجيل عقود الإيجار,2007
I,1,33,واردات ناتجة عن أشغال لحساب الغير,2007
I,1,35,رسوم وغرامات تسوية مخالفات البناء,2007
I,1,36,واردات مباشرة غير ملحوظة,2007
I,2,1,علاوة على ضريبة الأملاك المبنية النسبية,2007
I,2,2,حصة البلديات من المؤسسة العامة للاسكان,2007
I,2,7,ضريبة التحسين,2007
I,2,8,عائدات أخرى,2007
I,3,1,الحصة العائدة لدعم الموازنة,2007
I,3,2,الحصة المخصصة لدعم مشاريع التنمية,2007
I,4,1,المساعدات,2007
I,4,2,الفوائد,2007
I,4,3,القروض,2007
I,4,4,الهبات والوصايا,2007
I,4,5,الغرامات,2007
I,4,6,حاصلات الأملاك المبنية والمشاعات,2007
I,4,7,النقد المدور,2007
I,4,9,سائر العائدات غير الملحوظة,2007
E,1,1,تعويضات الرئاسة,2008
E,1,2,رواتب الموظفين,2008
E,1,3,بدلات التعاقد,2008
E,1,4,أجور الأجراء,2008
E,1,5,عائدات الجباية والغرامة,2008
E,1,6,المكافآت والتعويضات والتقديمات المختلفة,2008
E,1,8,الملابس,2008
E,2,1,التجهيزات,2008
E,2,2,صيانة التجهيزات والآليات,2008
E,2,3,المفروشات,2008
E,2,4,النظافة العامة,2008
